id,name,type,state,total_shootings
3145,Abbeville County Sheriff's Office,sheriff,SC,1
2576,Aberdeen Police Department,local_police,WA,1
2114,Abilene Police Department,local_police,TX,8
2088,Abington Township Police Department,local_police,PA,1
3187,Acadia Parish Sheriff's Office,sheriff,LA,1
3375,Acworth Police Department,local_police,GA,1
1241,Ada County Sheriff's Office,sheriff,ID,6
1615,Adair County Sheriff's Office,sheriff,OK,1
1978,Adams County Sheriff's Department,sheriff,CO,16
897,Adams County Sheriff's Department,sheriff,ID,1
3706,Adams County Sheriff's Office,sheriff,IL,1
3708,Adams County Sheriff's Office,sheriff,MS,1
3194,Adams County Sheriff's Office,sheriff,NE,1
3712,Adams County Sheriff's Office,sheriff,WA,1
3561,Adams County Sheriff's Office,sheriff,WI,1
2579,Ada Police Department,local_police,OK,3
3107,Adel Police Department,local_police,GA,1
914,Aiken County Sheriff's Office,sheriff,SC,7
1203,Aitkin County Sheriff's Office,sheriff,MN,1
815,Akron Police Department,local_police,OH,10
589,Alabama Law Enforcement Agency,state_police,AL,4
860,Alabama State Police,state_police,AL,4
3848,Alabama State Troopers,state_police,AL,2
1180,Alachua County Sheriff's Office,sheriff,FL,6
2168,Alamance County Sheriff's Office,sheriff,NC,3
806,Alameda County Sheriff's Office,sheriff,CA,5
1434,Alamogordo Police Department,local_police,NM,2
3879,Alamosa County Sheriff's Office,sheriff,CO,1
2354,Alamosa Police Department,local_police,CO,1
775,Alaska State Troopers,state_police,AK,33
3888,Alaska Wildlife Troopers,state_other,AK,1
958,Albany County Sheriff's Office,sheriff,WY,2
1443,Albany Police Department,local_police,GA,2
2237,Albany Police Department,local_police,NY,1
3901,Albany Police Department,local_police,OR,1
3551,Albemarle County Police Department,local_police,VA,1
2370,Albert Lea Police Department,local_police,MN,1
3452,Albertville Police Department,local_police,AL,1
3498,Albion Department of Public Safety,local_police,MI,1
508,Albuquerque Police Department,local_police,NM,54
3165,Alcorn County Sheriff's Office,sheriff,MS,2
3949,Alexander County Sheriff's Office,sheriff,NC,1
793,Alexandria Police Department,local_police,LA,3
2924,Alexandria Police Department,local_police,VA,3
1754,Alhambra Police Department,local_police,CA,1
3607,Alice Police Department,local_police,TX,1
3491,Allegan County Sheriff's Office,sheriff,MI,1
2149,Alleghany County Sheriff's Office,sheriff,NC,1
3996,Allegheny County Police Department,local_police,PA,1
1055,Allegheny County Port Authority,state_other,PA,1
2545,Allegheny County Sheriff's Department,sheriff,PA,1
1831,Allen County Sheriff's Department,sheriff,OH,3
4003,Allen County Sheriff's Office,sheriff,IN,1
2028,Allen County Sheriff's Office,sheriff,KY,2
1555,Allen Police Department,local_police,TX,4
1746,Allentown Police Department,local_police,PA,5
4019,Alliance Police Department,local_police,OH,1
4050,Alpharetta Department of Public Safety,local_police,GA,1
4066,Altamonte Springs Police Department,local_police,FL,2
185,Alton Police Department,local_police,IL,2
2895,Altoona Police Department,local_police,IA,1
4088,Altus Police Department,local_police,OK,1
1528,Alvin Police Department,local_police,TX,3
984,Amarillo Police Department,local_police,TX,23
4105,Amberley Village Police Department,local_police,OH,1
4113,Amelia County Sheriff's Office,sheriff,VA,2
3547,Amherst County Sheriff's Office,sheriff,VA,2
4145,Amory Police Department,local_police,MS,1
1657,Amtrak Police Department,local_police,IL,2
1651,Anadarko Police Department,local_police,OK,3
79,Anaheim Police Department,local_police,CA,18
3211,Anamosa Police Department,local_police,IA,1
208,Anchorage Police Department,local_police,AK,20
1707,Anderson County Sheriff's Office,sheriff,KY,1
1403,Anderson County Sheriff's Office,sheriff,SC,7
3416,Anderson County Sheriff's Office,sheriff,TN,1
1697,Anderson Police Department,local_police,CA,2
3075,Anderson Police Department,local_police,IN,1
551,Andover Police Department,local_police,NJ,1
4184,Andrews Police Department,local_police,TX,1
2717,Androscoggin County Sheriff's Office,sheriff,ME,1
2478,Angel Fire Police Department,local_police,NM,1
4189,Angelina County Sheriff's Office,sheriff,TX,1
3593,Angola Police Department,local_police,IN,1
2295,Ankeny Police Department,local_police,IA,1
2330,Anne Arundel County Police Department,local_police,MD,7
1932,Anniston Police Department,local_police,AL,1
2458,Anoka County Sheriff's Office,sheriff,MN,1
3040,Anoka Police Department,local_police,MN,1
911,Anson County Sheriff's Department,sheriff,NC,4
